jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,status_validasi
Dalam Negeri,RS DR R OETOJO SORONG,"JALAN AHMAD YANI KLADEMAK III C, KELURAHAN MALABUTOR, KECAMATAN SORONG MANOI, KOTA SORONG, PROVINSI PAPUA BARAT, 98412",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240101708,2024-03-30,PID50153,2,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS DR R OETOJO SORONG,"JALAN AHMAD YANI KLADEMAK III C, KELURAHAN MALABUTOR, KECAMATAN SORONG MANOI, KOTA SORONG, PROVINSI PAPUA BARAT, 98412",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240101705,2024-03-30,PID50753,2,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RS TK IV DR ARYOKO,"JALAN BASUKI RAHMAT, KELURAHAN KLAWALU, KEC. SORONG TIMUR, KOTA SORONG, PROVINSI PAPUA BARAT DAYA, 98418",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240800480,2024-08-13,PID50553,200,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RSUD KAIMANA,"JALAN BATU PUTIH KM 01 KELURAHAN COA KECAMATAN KAIMANA, KABUPATEN KAIMANA PROVINSI PAPUA BARAT, 98654",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240600801,2024-06-26,PID50353,5,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RSUD BALI MANDARA,"JALAN BY PASS NGURAH RAI NO.548, KELURAHAN SANUR, KECAMATAN DENPASAR SELATAN, KOTA DENPASAR, PROVINSI BALI, 80228",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240801414,2024-08-31,PID50553,26,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RSUD BALI MANDARA,"JALAN BY PASS NGURAH RAI NO.548, KELURAHAN SANUR, KECAMATAN DENPASAR SELATAN, KOTA DENPASAR, PROVINSI BALI, 80228",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/241000995,2024-10-28,PID50653,10,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RSU SANJIWANI KABUPATEN GIANYAR,"JALAN CIUNGWANARA NO 2, KELURAHAN GIANYAR, KECAMATAN GIANYAR, KABUPATEN GIANYAR, PROVINSI BALI, 80511",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/241101452,2024-11-28,PIH46953,6,"DUS, 10 VIAL @ 10 ML",2026-07-31 00:00:00,,VALID
Dalam Negeri,RSUD KABUPATEN KLUNGKUNG,"JALAN FLAMBOYAN NO 40, KELURAHAN SEMARAPURA KAUH, KECAMATAN KLUNGKUNG, KABUPATEN KLUNGKUNG, PROVINSI BALI 80714",,,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,IVC/SBY/240700568,2024-07-12,PID50553,2,"DUS, 10 VIAL @ 10 ML",2026-03-31 00:00:00,,VALID
Dalam Negeri,RSUD SIMPANG LIMA GUMUL KEDIRI,JALAN GALUH CANDRA KIRANA DESA TUGUREJO KEC. NGASEM KAB. KEDIRI,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG KEDIRI,Jawa Timur,Kab. Kediri,132424026626,2024-10-10,2401023,2,Dus 1 Vial @ 10 ml,2026-02-28 00:00:00,,VALID
Dalam Negeri,RSUD SIMPANG LIMA GUMUL KEDIRI,JALAN GALUH CANDRA KIRANA DESA TUGUREJO KEC. NGASEM KAB. KEDIRI,,,KETAMINE HYDROCHLORIDE,KTM 100 mg Injeksi (Bernofarm),GUARDIAN PHARMATAMA,MILLENNIUM PHARMACON INTERNATIONAL TBK CABANG KEDIRI,Jawa Timur,Kab. Kediri,132424026626,2024-10-10,2401027,14,Dus 1 Vial @ 10 ml,2026-02-28 00:00:00,,VALID
