jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,anomaly_label
DALAM NEGERI,RS HERMINA,"JL. RAYA PASURUAN-PROBOLINGGO KM.5 RT.01 RW.01 SAMBIREJO REJOSO, KAB. PASURUAN 67181",PASURUAN,JAWA TIMUR,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG MALANG,JAWA TIMUR,KAB. MALANG,125000718,2025-01-04,IMRPA41515,3,"DUS, 1 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS RIZANIA,"JL. RAYA SURABAYA-SITUBONDO KM.135, KEL. SUMBEREJO, KEC. PAITON, KABUPATEN PROBOLINGGO 67291, JAWA TIMUR",Kab. Probolinggo,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,ADYA ARTHA ABADI CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,IVC/SBY/250100073,2025-01-04,PSG65953,35,"DUS, 10 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,KLINIK PRATAMA RAWAT INAP WIJAYA KUSUMA MEDIKA,TRENGGALEK,Kab. Trenggalek,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG MALANG,JAWA TIMUR,KAB. MALANG,250005998,2025-01-04,I604N109,40,"DUS, 1 VIAL @ 1 G",2027-11-28 00:00:00,NAN,Klinik,1
DALAM NEGERI,RS BINA SEHAT,JL. JAYANEGARA NO.7 JEMBER 68133,Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-04,IMRPA41525,100,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS GRAHA MEDIKA,JALAN RAYA GENTENG DUSUN SIDOREJO WETAN RT.01 RW.01 DESA YOSOMULYO,Kab. Banyuwangi,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,8370293308,2025-01-06,PSE51853,5,"DUS, 10 VIAL @ 1 G",2026-04-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS SURABAYA PREMIER,JL NGINDEN INTAN BARAT BLK B,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA II,JAWA TIMUR,KOTA SURABAYA,FKSB2/202501/02095,2025-01-06,EE4480,16,"DUS, 1 VIAL @ 1 G",2026-05-03 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS SURABAYA PREMIER,JL NGINDEN INTAN BARAT BLK B,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA II,JAWA TIMUR,KOTA SURABAYA,FKSB2/202501/02095,2025-01-06,EF4577B,44,"DUS, 1 VIAL @ 1 G",2026-06-14 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,MAYAPADA HOSPITAL,JL. MAYJEND SUNGKONO NO. 16 - 20,Kota Surabaya,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG SURABAYA I,JAWA TIMUR,KOTA SURABAYA,FKSBY/202501/02065,2025-01-06,EE4480,42,"DUS, 1 VIAL @ 1 G",2026-05-03 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,PT BANYUWANGI PHARMA UTAMA,BANYUWANGI,Kab. Banyuwangi,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,250009597,2025-01-06,I604N104,20,"DUS, 1 VIAL @ 1 G",2027-10-30 00:00:00,NAN,PBF,1
DALAM NEGERI,RS LUKAS,JL. KH. MOH. KHOLIL 36-A RT.002 RW.009 DEMANGAN BANGKALAN 69115,Kab. Bangkalan,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM TRIHYDRATE,INTERBAT,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,125001190,2025-01-06,I604N102,7,"DUS, 1 VIAL @ 1 GRAM",2027-10-31 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,APOTEK ROWNISA,"JL. KH ACH MARZUKI RT/RW 005/004 PANGERANAN, BANGKALAN",Kab. Bangkalan,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROCEF,MAHAKAM BETA FARMA,DAYA MUDA AGUNG CABANG SIDOARJO,JAWA TIMUR,KAB. SIDOARJO,2509000267,2025-01-06,CJ24030B,12,"DUS, 1 VIAL @ 1 G",2026-03-30 00:00:00,NAN,Apotek,1
DALAM NEGERI,RS WONOLANGAN,PROBOLINGGO,Kab. Probolinggo,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,250012163,2025-01-06,I604N104,40,"DUS, 1 VIAL @ 1 G",2027-10-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS LAVALETTE,MALANG,Kab. Malang,Jawa Timur,MEROPENEM TRIHYDRATE,MEROPENEM,INTERBAT,MENSA BINASUKSES CABANG MALANG,JAWA TIMUR,KAB. MALANG,250011670,2025-01-06,I604N109,9,"DUS, 1 VIAL @ 1 G",2027-11-28 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS PANTI WALUYA SAWAHAN,JL. NUSA KAMBANGAN NO.56 KEL.KASIN,Kota Malang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROSAN 1,SANBE FARMA (UNIT 2),BINA SAN PRIMA CABANG MALANG,JAWA TIMUR,KAB. MALANG,FKMLG/202501/01251,2025-01-06,EC4477,10,"DUS, 1 VIAL @ 1 G",2026-03-18 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS WIJAYA KUSUMA,JL. A.YANI NO.149 LUMAJANG 67311,Kab. Lumajang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,@,2025-01-06,IMRPA41525,50,"DUS, 1 VIAL @ 1 G",2026-06-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS WIJAYA KUSUMA,JL.AHMAD YANI KEPUHARJO-LUMAJANG,Kab. Lumajang,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM TRIHYDRATE,INTERBAT,BANYUWANGI PHARMA UTAMA,JAWA TIMUR,KAB. BANYUWANGI,250100223,2025-01-06,I604N104,40,"DUS, 1 VIAL @ 1 GRAM",2027-10-30 00:00:00,NAN,Rumah Sakit,1
DALAM NEGERI,RS SANTA CLARA,"BILITON NO. 15, JL",Kab. Madiun,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,BERNOFARM,PARIT PADANG GLOBAL CABANG MALANG,JAWA TIMUR,KAB. MALANG,8320660816,2025-01-06,PSH87953,1,"DUS, 10 VIAL @ 1 G",2026-07-31 00:00:00,-,Rumah Sakit,1
DALAM NEGERI,KLINIK PRATAMA RAWAT INAP SUMBER WARAS,JL. RAYA AMBULU NO. 15 RT. 001 RW. 001 BALUNG KIDUL BALUNG,Kab. Jember,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,MEPROFARM,PENTA VALENT CABANG JEMBER,JAWA TIMUR,KAB. JEMBER,4.00E+27,2025-01-06,D4J112,1,"DUS, 10 VIAL @ 1 G",0000-00-00,MEROPENEM INJEKSI 1 G / KLINIK PRATAMA RAWAT INAP SUMBER WARAS / GKL1515623944B1,Klinik,1
DALAM NEGERI,RS MUHAMMADIYAH,"JL. RAYA NO.1193 SUMBERREJO, BOJONEGORO 62191",Kab. Bojonegoro,Jawa Timur,MEROPENEM BUFFERED WITH SODIUM CARBONATE,MEROPENEM,HEXPHARM JAYA LABORATORIES,ENSEVAL PUTERA MEGATRADING TBK CABANG SURABAYA,JAWA TIMUR,KOTA SURABAYA,325000057,2025-01-06,IMRPA41533,50,"DUS, 1 VIAL @ 1 G",2026-07-31 00:00:00,NAN,Rumah Sakit,1
