tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan
AAM JAKARTA 2,"INFINIA PARK MODERN WHS, BLOK A11,A12,A15-A18 JL.DR.SAHARJO NO.45",Kota Administrasi Jakarta Selatan,Dki Jakarta
AAM JEMBER,"JL. TEUKU UMAR NO. 72 KEL KEBON SARI, KEC SUMBER SARI",Jember,Jawa Timur
AAM KUPANG,"JL. PULAU INDAH NO. 9C, KEL. OESAPA BARAT, KEC. KELAPA LIMA, KUPANG, NTT",Kota Kupang,Nusa Tenggara Timur
AAM MAKASSAR,"JL. IR.JUANDA NO.12,RT 001 RW 001 WALA-WALAYA TALLO",Kota Makassar,Sulawesi Selatan
AAM MALANG,"JL. SIMPANG RANUGRATI NO.20 RT.03 RW.04 KEL.SAWOJAJAR KEC.KEDUNGKANDANG, KOTA MALANG",Kota Malang,Jawa Timur
AAM MEDAN,JL. SEI SERAYU 102 TANJUNG REJO,Kota Medan,Sumatera Utara
AAM NDC CIKARANG,Jl. Industri Selatan VII Blok PP-7A Kawasan Industri Jababeka II Cikarang Selatan,Bekasi,Jawa Barat
AAM NDC CIKARANG,"JL. INDUSTRI SELATAN 7 BLOK PP 7A. KAWASAN INDUSTRI JABABEKA II DESA PASIRSARI, KEC.CIKARANG SELATAN",Bekasi,Jawa Barat
AAM PALEMBANG,"Jl AKBP Cek Agus No 6534 Rt/Rw 042/8 Ilir, Ilir Timur III",Kota Palembang,Sumatera Selatan
AAM PONTIANAK,JALAN ARTERI SUPADIO-AHMAD YANI II NO.104-106 KEL.ARANG LIMBUNG KEC. SUNGAI RAYA,Kubu Raya,Kalimantan Barat
AAM PURWOKERTO,JL. S PARMAN NO 70 RT 009 / RW 02 PURWOKERTO SELATAN,Banyumas,Jawa Tengah
AAM SAMARINDA,JL. IR SUTAMI BLOK O-9,Kota Samarinda,Kalimantan Timur
AAM SEMARANG,JL. KAWASAN INDUSTRI CANDI BLOK 5 NO 29,Kota Semarang,Jawa Tengah
AAM SURABAYA,JALAN RUNGKUT INDUSTRI III NO 35 RUNGKUT MANANGGAL - GUNUNG ANYAR,Sidoarjo,Jawa Timur
AAM SURABAYA,JL. RUNGKUT INDUSTRI III NO. 35 RUNGKUT MANANGGAL - GUNUNG ANYAR,Sidoarjo,Jawa Timur
AAM TANGERANG,"JL. PINANG KUNCIRAN NO 31 RT 004 RW 002 KEL PINANG, KEC PINANG",Kota Tangerang,Banten
AAM YOGYAKARTA,"Jl. Kyai Guno Mrico, Mrican, Giwangan, Umbulharjo",Kota Yogyakarta,Daerah Istimewa Yogyakarta
AASIYAH APOTEK,DS. MOJOKEREP RT/RW 03/02 KEC. PLEMAHAN KAB. KEDIRI KEDIRI,Kediri,Jawa Timur
AB FARMA APOTEK,"DUSUN KOLLA DAYA, KEL. KETAPANG LAOK, KEC. KETAPANG, KAB. SAMPANG, PROVINSI JAWA TIMUR, 69261",Sampang,Jawa Timur
ABADI JAYA FARMA APOTEK,JL DR SUTOMO NO 12 MADIUN KARTOHARJO,Madiun,Jawa Timur
ABADI JAYA FARMA APOTEK KDR,JL. DR. SOETOMO NO. 12,Kota Madiun,Jawa Timur
ABATA APOTEK,TUBAN,Tuban,Jawa Timur
ABATA APOTEK,RUKO NO.7 JL.PAHLAWAN (TIMUR TMP),Tuban,Jawa Timur
ABATA APOTEK,"RUKO NO. 7, JL. PAHLAWAN (TIMUR TMP) GEDONGOMBO TUBAN",Tuban,Jawa Timur
ABATA APOTEK SBY,"RUKO NO.7 JL. PAHLAWAN (TIMUR TMP), GEDONGOMBO, SEMANDING",Tuban,Jawa Timur
ABATA TUBAN APOTEK TUBAN,RUKO NO. 7 JL. PAHLAWAN (TIMUR TMP) GEDONG AMBO SEMANDING TUBAN,Tuban,Jawa Timur
ABDUL SALAM 2 APOTEK,JL. RAYA LUMAJANG RT. 004 RW. 011,Kota Surabaya,Jawa Timur
ABEPURA RSUD,JL. KESEHATAN NO. 1 KELURAHAN YOBE KECAMATAN ABEPURA,Kota Jayapura,Papua
ABRAHAM APOTEK,JL.RAYA CANGKRING RUKO NO.02 DS.GEMBONGAN BLITAR,Blitar,Jawa Timur
ABRAHAM FARMA APOTEK,JL. RAYA CANGKRING NO. 02 BLITAR,Blitar,Jawa Timur
ABU HUSADA APOTEK,JL LENGKONG RT 2 RW 4,Nganjuk,Jawa Timur
ABU HUSADA APOTEK,JL.LENGKONG RT.12 RW.14 PANDANTOYO KERTOSONO NGANJUK,Nganjuk,Jawa Timur
ABUYA 2 XPRESS APOTEK,"JLN DR. CIPTO NO. 39D, GUDANG KOLOR - KOTA SUMENEP",Sumenep,Jawa Timur
ABUYA APOTEK,"JL.RAYA GAPURA BARAT ,KEC.GAPURA",Sumenep,Jawa Timur
ABUYA SUMENEP APOTEK SUMENEP,JL. RAYA GAPURA BARAT SUMENEP MADURA (PASAR GAPURA),Sumenep,Jawa Timur
ABY MEDIKA SEJAHTERA,JALAN MERDEKA NO 8 DAUH PEKEN TABANAN,Tabanan,Bali
ABY MEDIKA SEJAHTERA,JALAN BUKIT TINGGI NO 18 MENGWITANI BADUNG,Tabanan,Bali
ABY MEDIKA SEJAHTERA MENGWITANI MENGWITANI,KABUPATEN TABANAN,Tabanan,Bali
ACACIA JAYA ABADI,JALANKALI RUNGKUT NO 3 BLOK N.38-39 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA JAYA ABADI,JALAN RAYA KALI RUNGKURT NO 3 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA JAYA ABADI,JL.KALIRUNGKUT NO.3 BLOK N38-39 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA JAYA ABADI,JL. RAYA KALI RUNGKURT NO.3 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA JAYA ABADI PT,JL.KALI RUNGKUT NO.3 BLOK N 38-39 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA JAYA ABADI PT,SURABAYA,Kota Surabaya,Jawa Timur
ACACIA JAYA ABADI PT,JL.KALI RAYA RUNGKUT NO.3 BLOK N 38-39 PANJANGJIWO - TENGGILISMEJOYO,Kota Surabaya,Jawa Timur
ACACIA JAYA ABADI PT,JL.KALI RUNGKUT NO.3 BLOK N.38-39 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA M ABADI PT,JL. RAYA PANJANG JIWO PERMAI I B-21 RT 1 RW 4 PANJANGJIWO - TENGGILIS MEJOYO,Kota Surabaya,Jawa Timur
ACACIA MITRA ABADI,SURABAYA,Kota Surabaya,Jawa Timur
ACACIA MITRA ABADI,JALANRAYA PANJANG JIWO PERMAI IB-21 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA MITRA ABADI PT,JL.RAYA PANJANG JIWO PERMAI 1B-21 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA MITRA ABADI PT,JL.RAYA PANJANG JIWO PERMAI I-B NO.21 SURABAYA,Kota Surabaya,Jawa Timur
ACACIA MITRA ABADI PT,SURABAYA,Kota Surabaya,Jawa Timur
ADAM APOTEK,JL RATU AYU NO 6,Sidoarjo,Jawa Timur
ADAM FARMA APOTEK,JL. PANJANG JIWO IV/18 TRENGGILIS MEJOYO,Kota Surabaya,Jawa Timur
ADANG FARMA APOTEK,JL PANGLIMA SUDIRMAN NO 20,Tulungagung,Jawa Timur
