tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan
APOTEK SAPUTRA JAYA CITRALAND - SURABAYA,JALANGAPURA LONTAR BARAT NO 46 SURABAYA,Kota Surabaya,Jawa Timur
APOTEK SAQINA FARMA,"JL. GAJAH MADA NO.1 KEL. NAE, KEC. RASANAE BARAT KOTA BIMA PROV. NTB",Kota Bima,Nusa Tenggara Barat
APOTEK SARAE,JL. MAWAR NO. 4 KEL SARAE KEC. RASANAE BARAT KOTA BIMA NTB,Kota Bima,Nusa Tenggara Barat
APOTEK SARANA MEDIKA 5,KIOS PASAR SAMBIREJO BLOK A NO.20 KEC.BANGOREJO,Banyuwangi,Jawa Timur
APOTEK SARANA MEDIKA 5,BANYUWANGI,Banyuwangi,Jawa Timur
APOTEK SARANA MEDIKA 8 PESANGGARAN,"JL. AHMAD KUSNAN RUKO EX TERMINAL PASAR BLOK B NO. 4 DS. PESANGGARAN, KEC. PESANGGARAN BANYUWANGI",Banyuwangi,Jawa Timur
APOTEK SARANA MEDIKA 8 PESANGGARAN,JL.AHMAD KUSNAN RUKO EX TERMINAL PASAR BLOK B NO.4 DESA PESANGGARAN KEC.PESANGGARAN KAB.BANYUWANGI,Banyuwangi,Jawa Timur
APOTEK SARANAKU SEHAT,"JL.RAYA KEDIRI-PARE, DSN.WONOKASIHAN, DS GAYAM, GURAH KEDIRI",Kediri,Jawa Timur
APOTEK SARANGAN MEDIKA - MALANG,JALANSARANGAN NO 21B MALANG,Kota Malang,Jawa Timur
APOTEK SARAS RAHAYU,JL.SUNAN KUMBUL 12 SAWOO SAWOO,Ponorogo,Jawa Timur
APOTEK SARASWATI,KOMPLEK PERTOKOAN PURWOSARI INDAH BL A - NO:1 PURWOSARI,Pasuruan,Jawa Timur
APOTEK SARASWATI,"JL. PASAR RAYA BLOK A-1 PURWOSARI PASURUAN, KAB. PASURUAN 67162",Pasuruan,Jawa Timur
APOTEK SARASWATI,JL.PASAR RAYA BLOK A1 PURWOSARI,Pasuruan,Jawa Timur
APOTEK SARASWATI,"JL. RAYA PURWOSARI, ALKEMAR, MARTAPURO KEC.PURWOSARI",Pasuruan,Jawa Timur
APOTEK SARASWATI,JL. PASAR RAYA BLOK A-1 KELUARAN PURWOSARI PASURUAN,Pasuruan,Jawa Timur
APOTEK SARI ARTHA,JL. HASANUDIN 93A GENTENG,Banyuwangi,Jawa Timur
APOTEK SARI ARTHA FARMA,JL. KHAIRIL ANWAR NO. 04,Bondowoso,Jawa Timur
APOTEK SARI ARTHA FARMA JBR,JL. KHAIRIL ANWAR NO. 04,Bondowoso,Jawa Timur
APOTEK SARI ASIH,JL TEUKU UMAR NO 30,Tulungagung,Jawa Timur
APOTEK SARI ASIH,JL. TEUKU UMAR 30 TULUNGAGUNG 66211,Tulungagung,Jawa Timur
APOTEK SARI ASIH,JL.TEUKU UMAR NO.30 KEL.KAUMAN KAB.TULUNGAGUNG,Tulungagung,Jawa Timur
APOTEK SARI DEWI,JL.DSN.SUMBERCANGKRING RT.005 RW.002 KEDIRI,Kediri,Jawa Timur
APOTEK SARI DEWI,DSN.SUMBERCANGKRING RT.005 RW.002 KEC.GURAH KAB.KEDIRI,Kediri,Jawa Timur
APOTEK SARI INDAH,JL.KERTANEGARA 1F KEC.SINGOSARI KAB.MALA,Malang,Jawa Timur
APOTEK SARI INDAH,JL. KERTANEGARA NO. 20 SINGOSARI KAB. MALANG,Malang,Jawa Timur
APOTEK SARI INDAH,Jl. Kertanegara No 20 Singosari,Malang,Jawa Timur
APOTEK SARI INDAH,JL.KERTANEGARA NO.1F MALANG,Malang,Jawa Timur
APOTEK SARI INDAH,JL. KERTANEGARA NO. 1F DESA PAGENTAN KECAMATAN SINGOSARI KABUPATEN MALANG,Malang,Jawa Timur
APOTEK SARI MEDICA,JL.IR.H.JUANDA NOMOR 61 TONATAN - PONOROGO,Ponorogo,Jawa Timur
APOTEK SARI MEDIKA GUNAWAN JOESOEF,JL. A.YANI 14 (416900)-M A L A N G,Kota Malang,Jawa Timur
APOTEK SARI MEDIKA MLG,Jl.A.Yani No.14 Malang,Malang,Jawa Timur
APOTEK SARI TRENGGALEK,JL. RA. KARTINI NO. 19-TRENGGALEK,Trenggalek,Jawa Timur
APOTEK SARI UTAMA,JL.BRIGJEN POL IMAM BACHRI NO.122,Kota Kediri,Jawa Timur
APOTEK SARIARTHA,JL.HASANUDIN NO.93A GENTENG,Banyuwangi,Jawa Timur
APOTEK SARIARTHA,Jl.Hasanuddin no 93 A Genteng,Banyuwangi,Jawa Timur
APOTEK SARIASIH FARMA KEDIRI,"DSN. SEMENAN RT 13 RW 04, DS. SUMBERAGUNG, KEC. WATES KAB. KEDIRI KEDIRI",Kediri,Jawa Timur
APOTEK SARIVITA,"PASAR GONDANGLEGI BEDAK 4C, GONDANGLEGI-MALANG",Malang,Jawa Timur
APOTEK SARUNAI FARMA,JL. A. YANI KM.07 KEL. KERTAK HANYAR I BANJAR,Kota Banjarmasin,Kalimantan Selatan
APOTEK SARWOSARI,JL.RAYA DEMUK KALANGAN BARAN II PANJEREJO REJOTANGAN TULUNGAGUNG,Tulungagung,Jawa Timur
APOTEK SATELIT,JALAN ADIRASA KELURAHAN KOLOR KECAMATAN KOTA SUMENEP - SUMENEP,Sumenep,Jawa Timur
APOTEK SATELIT,"JL.ADIRASA, KEL.KOLORSUMENEP",Sumenep,Jawa Timur
APOTEK SATELIT,"JL. ADIRASA, KOLOR, SUMENEP",Sumenep,Jawa Timur
APOTEK SATELIT,"JL.ADIRASA, KEL.KOLOR, KEC.KOTA SUMENEP SUMENEP",Sumenep,Jawa Timur
APOTEK SATELIT,"JL. ADIRASA, DS/KEL KOLOR, KEC KOTA SUMENEP, KAB SUMENEP",Sumenep,Jawa Timur
APOTEK SATELITE,JL. TANJUNGSARI MADYA 9 NO.34 (LAMA: JL. SATELIT UTARA 8 BLOK BT-3A) SURABAYA 60187,Kota Surabaya,Jawa Timur
APOTEK SATRIA,"JL. JEND. A.YANI 7A BALEARJOSARI, BLIMBING, KOTA MALANG 65126",Kota Malang,Jawa Timur
APOTEK SATRIA BHIRAWA,"JL. USMAN SADAR NO. 226, DESA/KELURAHAN SUKORAME, KEC. GRESIK",Gresik,Jawa Timur
APOTEK SATRIA BHIRAWA - SURABAYA,JALAN USMAN SADAR NO 226 DESA/KELURAHAN SUKORAME KECAMATAN GRESIK,Gresik,Jawa Timur
APOTEK SATRIA FARMA,"JL. SIMONGAGROK, DSN SIMONGAGROK, DAWARBLANDONG, MOJOKERTO",Mojokerto,Jawa Timur
APOTEK SATRIA FARMA,"JL. SIMONGAGROK DSN.SIMONGAGROK, DS.SIMONGAGROK RT.002 RW.001 KEC.DAWARBLANDONG MOJOKERTO",Mojokerto,Jawa Timur
APOTEK SATRIA FARMA APOTEK,"JL. SIMONGAGROK, DSN SIMONGAGROK, DAWARBLANDONG, MOJOKERTO",Mojokerto,Jawa Timur
APOTEK SATRYA PHARMACY KEROBOKAN KELOD KUTA UTARA,KABUPATEN BADUNG,Badung,Bali
APOTEK SATU FARMA,JALAN KEPITING NO 7D SOBO BANYUWANGI,Banyuwangi,Jawa Timur
APOTEK SATU FARMA,JL. KEPITING NO. 7D SOBO - BANYUWANGI 68418,Banyuwangi,Jawa Timur
APOTEK SATU FARMA,JL KEPITING NO 7 D SOBO,Banyuwangi,Jawa Timur
APOTEK SATU FARMA,JL KEPITING NO 7D,Banyuwangi,Jawa Timur
APOTEK SATU FARMA,JL. KEPITING NO. 7D SOBO,Banyuwangi,Jawa Timur
APOTEK SATU FARMA,"Jl. Kepiting No. 7D, Kel. Sobo, kec. Banyuwangi, Banyuwangi",Banyuwangi,Jawa Timur
APOTEK SATU FARMA - BANYUWANGI,JALAN KEPITING NO 7 D SOBO,Banyuwangi,Jawa Timur
APOTEK SATU FARMA - JBR,JALAN KEPITING NO 7D SOBO,Banyuwangi,Jawa Timur
APOTEK SATU TUNGGAL,"JL. PEMUDA NO. 46 SIDAYU, GRESIK",Gresik,Jawa Timur
APOTEK SATU TUNGGAL FARMA,JL.PEMUDA NO.5 SIDAYU (031-773,Gresik,Jawa Timur
APOTEK SATYA FARMA,JALAN DIPONEGORO NO 97 SURABAYA,Kota Surabaya,Jawa Timur
APOTEK SATYA FARMA,"JL.RAYA DIPONEGORO 97 TLP.5684090,SBY SURABAYA",Kota Surabaya,Jawa Timur
APOTEK SATYA PRIMA,JALAN DR. SOETOMO NO 35 RT .39 SAMARINDA,Kota Samarinda,Kalimantan Timur
APOTEK SATYA PRIMA,JL. DR. SOETOMO NO.35 RT.39 SAMARINDA,Kota Samarinda,Kalimantan Timur
APOTEK SAUDARA,JL. KARTINI 66 CANTIKAN KALIWATES 68133,Jember,Jawa Timur
APOTEK SAUDARA,JL. KARTINI 66,Jember,Jawa Timur
APOTEK SAWO FARMA,Jl. Raya Sawo No. 17 Dukun Gresik,Gresik,Jawa Timur
APOTEK SAWOJAJAR INDAH,Jl.Danau Toba No.A 6 Malang,Kota Malang,Jawa Timur
APOTEK SAWOJAJAR INDAH,JL. DANAU TOBA A-6,Kota Malang,Jawa Timur
APOTEK SAWOJAJAR INDAH,JL. DANAU TOBA NO.A-6 KEL. SAWOJAJAR KEC.KEDUNGKANDANG,Kota Malang,Jawa Timur
APOTEK SAYUWIWIT,JALAN SAYUWIWIT NO 57 BANYUWANGI,Banyuwangi,Jawa Timur
APOTEK SBS FARMA SUKOLILO,JALAN MANYAR JAYA III NO 15 SURABAYA,Kota Surabaya,Jawa Timur
APOTEK SEDATI SEHAT,JALAN H SYUKUR VII NO 19 SEDATI GEDE SEDATI,Sidoarjo,Jawa Timur
APOTEK SEDATI SEHAT,"JL. H SYUKUR VII NO.19, SEDATI GEDE, SEDATI SIDOARJO 61253",Sidoarjo,Jawa Timur
APOTEK SEDATI SEHAT,JL. H. SYUKUR VII NO. 19 SEDATI GEDE - SEDATI,Sidoarjo,Jawa Timur
APOTEK SEDATI SEHAT,"Jl. H Syukur VII No. 19, Sedati Gede, Sedati",Sidoarjo,Jawa Timur
APOTEK SEDERHANA,"Jl. Gondang - Lengkong, Ds. Gondangkulon Kec. Gondang Nganjuk",Nganjuk,Jawa Timur
APOTEK SEDOYO SEHAT,JL. AMPERA NO. 21 BARENG JOMBANG,Jombang,Jawa Timur
APOTEK SEDUDO,JALANMAYJEND. SUPENO NO 5 DESA SENGKUT KECAMATAN BERBEK KAB.NGANJUK,Nganjuk,Jawa Timur
APOTEK SEDUDO,JALAN MAY JEND SUPENO NO 5 BERBEK,Nganjuk,Jawa Timur
APOTEK SEDUDO,JALAN MAYJEN SUPENO NO 5 DESA SENGKUT KECAMATAN BREBEK NGANJUK,Nganjuk,Jawa Timur
APOTEK SEDUDO,JL.MAYJEND. SUPENO NO.5 DESA SENGKUT KEC. BERBEK KAB.NGANJUK,Nganjuk,Jawa Timur
APOTEK SEDUDO,NGANJUK,Nganjuk,Jawa Timur
APOTEK SEDUDO,JL MAYJEN SUPENO NO 5,Nganjuk,Jawa Timur
APOTEK SEDUDO,JL. MAYJEN SUPENO NO.5 RT.001 RW.006 KEL. SENGKUT KEC. BERBEK KAB. NGANJUK 64473,Nganjuk,Jawa Timur
APOTEK SEDUDO,"JL. MAYJEN SUPENO NO. 5 DS. SENGKUT, BERBEK SENGKUT-BERBEK",Nganjuk,Jawa Timur
APOTEK SEDUDO,JL.MAYJEND SOEPENO NO.05 DS.SENGKUT KEC.BERBEK KAB.NGANJUK 64473,Nganjuk,Jawa Timur
APOTEK SEDUDO,JL. MAYJEND SUPENO 5 BERBEK,Nganjuk,Jawa Timur
APOTEK SEDUDO,JL. MAYJEN SUPENO NO.5 DESA SENGKUT KEC.BREBEK NGANJUK,Nganjuk,Jawa Timur
APOTEK SEDUDO,"Jl. Mayjen Supeno No. 05 Ds. Sengkut, Kec. Berbek Nganjuk",Nganjuk,Jawa Timur
APOTEK SEDUDO,"MAYJEN SUPENO 5, JL BERBEK",Nganjuk,Jawa Timur
APOTEK SEDUDO,Jl. Mayjen Supeno No.5 Berbek,Nganjuk,Jawa Timur
APOTEK SEDUDO,JL. MAYJEND SUPENO 05 BREBEK - NGANJUK,Nganjuk,Jawa Timur
APOTEK SEDUDO,JL.MAYJEN SUPENO 5 BERBEK NGJK,Nganjuk,Jawa Timur
APOTEK SEDUDO,-,Nganjuk,Jawa Timur
APOTEK SEDUDO NGANJUK,JL.MAYJEND.SUPENO NO.5 BERBEK-NGANJUK,Nganjuk,Jawa Timur
APOTEK SEDUDO NJK,JL.Mayjend Supeno no.5.Berbek-Nganjuk,Nganjuk,Jawa Timur
APOTEK SEDULUR,JL. BASUKI RAHMAT NO. 159 DS. SINGOTRUNAN BANYUWANGI,Banyuwangi,Jawa Timur
APOTEK SEDULUR FARMA,DUSUN. SLUMBUNG RT .01 RW .01 KELURAHAN SLUMBUNG KECAMATAN GANDUSARI,Blitar,Jawa Timur
APOTEK SEDULUR SEHAT,JL. PRENGGO NO. 13 DSN. NGINGAS KEC. CAMPURDARAT KAB. TULUNGAGUNG 66272,Tulungagung,Jawa Timur
APOTEK SEDULUR SEHAT,JL. PRENGGO NO 13 DSN NGINGAS DS/KEC CAMPURDARAT TULUNGAGUNG,Tulungagung,Jawa Timur
APOTEK SEGAR MEDIKA,DUSUN BALONG DESA SENDANGREJO KEC NGIMBANG KAB LAMONGAN 62273,Lamongan,Jawa Timur
APOTEK SEGAR MEDIKA,BALONG DS.SENDANGREJO NGIMBANG KEC. NGIMBANG KAB. LAMONGAN LAMONGAN,Lamongan,Jawa Timur
APOTEK SEGAR MEDIKA,BALONG DESA SENDANGREJO NGIMBANG - NGIMBANG,Lamongan,Jawa Timur
APOTEK SEGAR MEDIKA,DSN BALONG DS.SENDANGREJO LAMONGAN,Lamongan,Jawa Timur
APOTEK SEGAR MEDIKA - LAMONGAN,BALONG DESA SENDANGREJO NGIMBANG - NGIMBANG,Lamongan,Jawa Timur
APOTEK SEGARAN - SURABAYA,TAMBAK SEGARAN 24,Kota Surabaya,Jawa Timur
APOTEK SEGARAN - SURABAYA,JALAN TAMBAK SEGARAN 24 SURABAYA,Kota Surabaya,Jawa Timur
APOTEK SEGARSONA,JL RAYA BANJAR KEC GALIS BANGKALAN,Bangkalan,Jawa Timur
APOTEK SEGER 1,KH. WAHID HASYM NO24 JOMBANG 61415,Jombang,Jawa Timur
APOTEK SEGER I,JL KH WACHID HASYIM NO 24,Jombang,Jawa Timur
APOTEK SEGER I,JL.KH.WAHID HASYIM 24,Jombang,Jawa Timur
APOTEK SEGER JAYA,JL. DR. WAHIDIN NO.871,Tuban,Jawa Timur
APOTEK SEGER JAYA,JL.DR.WAHIDIN SUDIRO HUSODO NO.871,Tuban,Jawa Timur
APOTEK SEGER JAYA,DR. WAHIDIN SUDIROHUSODO 871,Tuban,Jawa Timur
APOTEK SEGER JOYO,JALAN KENANGA NO 2 DESA/KELURAHAN TANGGULKULON KECAMATAN TANGGUL KAB. JEMBER,Jember,Jawa Timur
APOTEK SEGER JOYO,JL KENANGA NO 2 JEMBER,Jember,Jawa Timur
APOTEK SEGER JOYO,JL KENANGA NO.2 DS/KEL TANGGULKULON JEMBER,Jember,Jawa Timur
APOTEK SEGER WARAS TIDAR,"Jl. Raya Candi VI No. 402,Desa/Kelurahan Karangbesuki,Kecamatan Sukun,Kota Malang,Jawa Timur,65149 Indonesia",Kota Malang,Jawa Timur
APOTEK SEGER WARAS TIDAR,"Jl. Raya Candi VI No. 402,Desa/Kelurahan Karangbesuki,Kecamatan Sukun,Kota Malang,Jawa Timur,65149",Kota Malang,Jawa Timur
APOTEK SEGER WARAS TIDAR,"Jl. Raya Candi 6 No. 402, Kel. Karangbesuki, Kec. Sukun, Kota Malang",Kota Malang,Jawa Timur
APOTEK SEGER WARAS TIDAR,JL. RAYA CANDI 6 NO.402 KARANGBESUKI - SUKUN,Kota Malang,Jawa Timur
APOTEK SEGER WARAS TIDAR,JL.RAYA CANDI 6 NO.402 - KEL.KARANG BESUKI,Kota Malang,Jawa Timur
APOTEK SEGER WARAS TIDAR,JL.RAYA CANDI 6 NO.402 KEL.KARANGBESUKI SUKUN,Kota Malang,Jawa Timur
APOTEK SEGORO,JL. RAYA KETAWANG NO.70 RT.17 RW.02,Malang,Jawa Timur
APOTEK SEGUNUNG,"DSN SEGUNUNG RT005 RW001 DS.SEGUNUNG, DLANGU MOJOKERTO",Mojokerto,Jawa Timur
APOTEK SEHAT (PAPUA),"JL.RAYA YAFDAS BIAK, BIAK NUMFORPAPUA",Biak Numfor,Papua
APOTEK SEHAT - BTU,JALAN P. SUDIRMAN 52 BATU-MALANG,Kota Batu,Jawa Timur
APOTEK SEHAT - JBR,JALAN UNTUNG SUROPATI 26 JEMBER,Jember,Jawa Timur
APOTEK SEHAT 18P SO,JL. UNTUNG SUROPATI 26 LINGK. KAMPUNG TENGAH. DESA/KELURAHAN KEPATIHAN KEC. KALIWATES,Jember,Jawa Timur
APOTEK SEHAT 365,"JL KASIYAN NO 47 GAMBIRONO, JEMBER",Jember,Jawa Timur
APOTEK SEHAT 365,"JL.KASIYAN 47, AGAMBIRONO, BANGSALSARIJEMBER",Jember,Jawa Timur
APOTEK SEHAT 3704,"Jalan Panglima Sudirman No.52, Ngaglik, Kecamatan Batu, Kota Batu, Jawa Timur 65311 Indonesia",Kota Batu,Jawa Timur
APOTEK SEHAT 48,JL. RAYA JATI NO. 05 SIDOARJO 61226,Sidoarjo,Jawa Timur
APOTEK SEHAT 88,JL.GRIYA KEDURUS TIMUR NO.31,Kota Surabaya,Jawa Timur
APOTEK SEHAT 88,JL.GRIYA KEDURUS TIMUR NO.31 SURABAYA,Kota Surabaya,Jawa Timur
APOTEK SEHAT 88,JL. GRIYA KEDURUS TIMUR NO.31SURABAYA,Kota Surabaya,Jawa Timur
APOTEK SEHAT ABADI,JALAN PAHLAWAN RT . 008 RW . 002 JATIGUWI KECAMATAN SUMBERPUCUNG KAB. MALANG,Malang,Jawa Timur
APOTEK SEHAT ANUGRAH,Jl. Raya Goranggareng No 300,Magetan,Jawa Timur
APOTEK SEHAT BATU 17P SO,JL.P.SUDIRMAN 52 BATU,Kota Batu,Jawa Timur
APOTEK SEHAT BOJONEGORO,JL. PANGLIMA SUDIRMAN NOMOR: 40 RT.000 KAUMAN,Bojonegoro,Jawa Timur
APOTEK SEHAT FARMA MEIKE WORAN,JL.STEVANUS RUMBEVAS/HASANUDIN SERUI PAPUA KOTADISTRIK YAPEN,Kepulauan Yapen,Papua
APOTEK SEHAT JAYA PORONG,JL. RAYA PORONG NO.156 SIDOARJO,Sidoarjo,Jawa Timur
APOTEK SEHAT JBR,Jl Untung Suropati 26 Jember,Jember,Jawa Timur
APOTEK SEHAT JEMBER,JL.UNTUNG SUROPATI 26 JEMBER,Jember,Jawa Timur
APOTEK SEHAT KALIWATES,JL. UNTUNG SUROPATI 26 JBR KALIWATES,Jember,Jawa Timur
APOTEK SEHAT KASIMAN,"JL. WONOSARI NO.18, KASIMAN BOJONEGORO",Bojonegoro,Jawa Timur
APOTEK SEHAT KEDIRI,Jl. Monginsidi 12,Kota Kediri,Jawa Timur
APOTEK SEHAT KUTA,"JL. RAYA KUTA NO.45, KEL KUTA, KEC KUTA BADUNG",Badung,Bali
APOTEK SEHAT KUTA,"JL. RAYA KUTA NO. 45, KEL. KUTA, KEC. KUTA BADUNG",Badung,Bali
APOTEK SEHAT KUTA KUTA KUTA,KABUPATEN BADUNG,Badung,Bali
APOTEK SEHAT LAMONGAN,Jl. Kusuma Bangsa no.13,Lamongan,Jawa Timur
APOTEK SEHAT MAJAPAHIT,JL. MAJAPAHIT 85 DS. CELEP SIDOARJO,Sidoarjo,Jawa Timur
APOTEK SEHAT MARIANY MERY LIMBONG,"JL.DS YAN MAMORIBO, NABIRE-PAPUA",Nabire,Papua Tengah
APOTEK SEHAT MEDIKA,SIDOKARE ASRI NO 05 RT .16 RW .03 SUMOKALI CANDI SIDOARJO,Sidoarjo,Jawa Timur
APOTEK SEHAT MEDIKA,"Sidokare Asri No.c4, Hyamplung, Kelurahan Sumokali, Kecamatan Candi, Kabupaten Sidoarjo, Jawa Timur 61271 Indonesia",Sidoarjo,Jawa Timur
APOTEK SEHAT MEDIKA,"Sidokare Asri No.c4, Hyamplung, Kelurahan Sumokali, Kecamatan Candi, Kabupaten Sidoarjo, Jawa Timur 61271",Sidoarjo,Jawa Timur
APOTEK SEHAT MEDIKA,"JL.RY SUMOKALI 5, SIDOKARE ASRI SUMOKALI, CANDISIDOARJO",Sidoarjo,Jawa Timur
APOTEK SEHAT MEDIKA,Kabupaten Sidoarjo,Sidoarjo,Jawa Timur
APOTEK SEHAT MOH AZWAR ARFAH,"JL. PATTIMURA, KEL. TUAL, KEC. PULAU DULLAH SELATAN, KOTA TUAL, MALUKU, AMBON",Kota Tual,Maluku
APOTEK SEHAT PRATAMA,JL. RAYA GRAJAGAN NO. 07 CURAH PECAK - PURWOHARJO - BANYUWANGI 68483,Banyuwangi,Jawa Timur
APOTEK SEHAT PRATAMA,JL.RY GRAJAGAN NO.7 DUSUN CURAH PECAK,Banyuwangi,Jawa Timur
APOTEK SEHAT PRATAMA,RAYA GRAJAGAN 7 DSN CURAHPECAK -PURWOHARJO,Banyuwangi,Jawa Timur
APOTEK SEHAT PRATAMA,BANYUWANGI,Banyuwangi,Jawa Timur
APOTEK SEHAT PRATAMA,"JL. RAYA GRAJAGAN NO.7 CURAH PECAK, PURWOHARJO",Banyuwangi,Jawa Timur
APOTEK SEHAT PRIMA,"DSN PANDANG RT1 RW3, AMBUNTEN TENGAHSUMENEP",Sumenep,Jawa Timur
APOTEK SEHAT PRIMA,DUSUN PANDIAN DS AMBUNTEN TENGAH SUMENEP,Sumenep,Jawa Timur
APOTEK SEHAT PRIMA,SUMENEP,Sumenep,Jawa Timur
APOTEK SEHAT SDA,JALANMOJOPAHIT 85,Sidoarjo,Jawa Timur
APOTEK SEHAT SDJ,"Jl. Majapahit 85,Sidoarjo",Sidoarjo,Jawa Timur
APOTEK SEHAT SEJAHTERA 3,JL.JOYOBOYO 54 025/004 KARANGREJO NGASEM KEDIRI,Kediri,Jawa Timur
APOTEK SEHAT SEJAHTERA 4,JL. MASTRIP NO. 12 SUKORAME KEC. MOJOROTO KEDIRI,Kota Kediri,Jawa Timur
APOTEK SEHAT SEJAHTERA ANAKALANG,JL.PASAR ANAKALANG DESA ANAKALANG KEC.KATIKU TANA KOTA SUMBA TENGAH,Sumba Tengah,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA ANAKALANG ERIC,JL.PASAR ANAKALANG DESA ANAKALANG KEC.KATIKU TANA KOTA SUMBA TENGAH,Sumba Tengah,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA ANAKALANG LING,JL.PASAR ANAKALANG DESA ANAKALANG KEC.KATIKU TANA KOTA SUMBA TENGAH,Sumba Tengah,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA RADAMATA,JL.YOS SUDARSO RADAMATA KEC. KOTA TAMBOLAKA KAB.SUMBA BARAT DAYA,Sumba Barat Daya,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA RADAMATA,"JL.YOSSUDARSO,RADAMATA,KEC.KOTATAMBOLAKA,KAB.SUMBABARATDAYA",Sumba Barat Daya,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA RADAMATA ERIC,JL.YOS SUDARSO RADAMATA KEC. KOTA TAMBOLAKA KAB.SUMBA BARAT DAYA,Sumba Barat Daya,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA WAITABULA,JL.WAITABULA ; KEL WAITABULA KEC. KOTA TAMBOLAKAN (DEPAN RUMAH SAKIT KARITAS),Sumba Barat Daya,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA WAITABULA,KEL. WAITABULA KEC. KOTA TAMBOLAKA,Sumba Barat Daya,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA WAITABULA LING,JL.WAITABULA ; KEL WAITABULA KEC. KOTA TAMBOLAKAN (DEPAN RUMAH SAKIT KARITAS),Sumba Barat Daya,Nusa Tenggara Timur
APOTEK SEHAT SEJAHTERA WAITABULA PT SEH,JL.WAITABULA ; KEL WAITABULA KEC. KOTA TAMBOLAKAN (DEPAN RUMAH SAKIT KARITAS),Sumba Barat Daya,Nusa Tenggara Timur
APOTEK SEHAT SELALU WIGUNA,JALAN WIGUNA SELATAN NO 24 D GUNUNGANYAR SURABAYA JAWA TIMUR 60294,Kota Surabaya,Jawa Timur
APOTEK SEHAT SELALU WIGUNA,JL. WIGUNA SELATAN NO. 24D SURABAYA,Kota Surabaya,Jawa Timur
APOTEK SEHAT SELALU WIGUNA - SURABAYA,JALAN WIGUNA SELATAN NO 24D,Kota Surabaya,Jawa Timur
APOTEK SEHAT SEMPURNA,JEND A. YANI 396,Nganjuk,Jawa Timur
APOTEK SEHAT SUMBA TIMUR RIDWAN UNTONO,JLN.D.I PANJAITAN NO 4 KEL. MATAWAI KOTA WAINGAPU SUMBA TIMUR,Sumba Timur,Nusa Tenggara Timur
APOTEK SEHAT UTAMA,JALAN JENGGOLO NO 555 KECAMATAN DAMPIT KABUPATEN MALANG,Malang,Jawa Timur
APOTEK SEHAT UTAMA,JL. JENGGOLO NO.555 RT.04/RW.02,Malang,Jawa Timur
APOTEK SEHAT UTAMA 2,JL. PANGLIMA SUDIRMAN NO.47 KEL. TUREN KEC. TUREN MALANG,Malang,Jawa Timur
APOTEK SEHAT UTAMA DAMPIT,JALAN JENGGOLO NO 555 KELURAHAN DAMPIT KECAMATAN DAMPIT KABUPATEN MALANG JAWA TIMUR 65181 INDONESIA,Malang,Jawa Timur
APOTEK SEHATI FARMA,"JL.ANGGUR NO.05RT/RW 01/01 ,KEL.RABADOMPU BARAT KEC.RABA BIMA",Bima,Nusa Tenggara Barat
APOTEK SEHATI FARMA SULAWESI,"JL. PROTOKOL, DESA LABURUNCI, KEC. PASARWAJO, KAB. BUTON",Buton,Sulawesi Tenggara
APOTEK SEHATI FARMA SULAWESI,"DSN. AWAUNGGE, DS. LABURUNCI, KEC. PASARWAJO, KAB. BUTON",Buton,Sulawesi Tenggara
APOTEK SEHATI MEDIKA,"JL.BALDUWAHADATKEC.P.DULLAHSELATANKEL.LODAR,EL-KOTATUAL",Kota Tual,Maluku
APOTEK SEHATKU PRIMA,"RUKO NATURA RESIDENCE BLOK CC 8, PAGERWOJOSIDOARJO",Sidoarjo,Jawa Timur
APOTEK SEHATMU SURAKARTA JEBRES JEBRES,KOTA SURAKART A,Kota Surakarta,Jawa Tengah
APOTEK SEJAHTERA FARMA,JL PERINTIS KEMERDEKAAN NO 254,Kota Kediri,Jawa Timur
APOTEK SEJAHTERA FARMA,"JL. PERINTIS KEMERDEKAAN NO. 254, NGRONGGO, KEDIRI",Kota Kediri,Jawa Timur
APOTEK SEJAHTERA FARMA,JL. PERINTIS KEMERDEKAAN NO. 254 KEL. NGRONGGO KOTA KEDIRI 64127,Kota Kediri,Jawa Timur
APOTEK SEJATI - MALANG,JALANMERDEKA TIMUR II NO 10 MALANG,Kota Malang,Jawa Timur
APOTEK SEJATI 24,JALAN LETJEND SUPRAPTO NO 57 KELURAHAN DABASAH BONDOWOSO,Bondowoso,Jawa Timur
APOTEK SEJATI 24,JL. LETJEND SUPRAPTO NO. 57 KEL. DABASAH,Bondowoso,Jawa Timur
APOTEK SEJATI II,"JL.BALDU WAHADAT KEL,LODAR EI KEC.DULLAH SELATAN TUAL MALUKU",Kota Tual,Maluku
APOTEK SEJATI JAYA,JL. BHAYANGKARI NO 663 KEL JUWET KENONGOPORONG -SIDOARJO,Sidoarjo,Jawa Timur
