jenis_transaksi,tujuan_penyaluran,alamat_tujuan,nama_kota_kab_tujuan,nama_provinsi_tujuan,nama_zat_aktif,nama_obat_jadi,produsen_obat_jadi,nama_pbf,provinsi,kabupaten_kota,no_faktur,tanggal_penyaluran,batch,jumlah,satuan,tanggal_kedaluwarsa,keterangan,jenis_sarana,kategori_obat,anomaly_label,anomaly_reason
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126020891,2026-02-03,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126025874,2026-02-11,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126028224,2026-02-14,TIVTA50033,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126032149,2026-02-21,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126036583,2026-02-27,TIVTA50033,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126044212,2026-03-11,TIVTA50034,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126048635,2026-03-17,TIVTA50034,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126049092,2026-03-18,TIVTA50034,2.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,NATIONAL HOSPITAL,JL. BOULEVARD FAMILI SELATAN KAV.1 BABATAN WIYUNG SURABAYA 60213,KOTA SURABAYA,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,INVITEC,DANKOS FARMA,ENSEVAL PUTERA MEGATRADING TBK CABANG SIDOARJO,Jawa Timur,Kab. Sidoarjo,126063272,2026-04-14,TIVTA50034,1.0,"DUS, 3 STRIP @ 10 TABLET",2028-02-29,,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,APOTEK AL MAHDI,"JL. BRAWIJAYA NO. 01 RT.01 RW.01, DS. TAMBAKREJO, KEC. MUNCAR",BANYUWANGI,JAWA TIMUR,"Microcrystalline Cellulose, MISOPROSTOL DISPERSION HPMC",SOPROS,ERLIMPEX,SELARAS KUSUMA CABANG MALANG,Jawa Timur,Kab. Malang,2026040583,2026-04-13,T38250016,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-12-31,,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK AL MAHDI,"JL. BRAWIJAYA NO. 01 RT.01 RW.01, DS. TAMBAKREJO, KEC. MUNCAR",BANYUWANGI,JAWA TIMUR,"Microcrystalline Cellulose, MISOPROSTOL DISPERSION HPMC",SOPROS,ERLIMPEX,SELARAS KUSUMA CABANG MALANG,Jawa Timur,Kab. Malang,2026020216,2026-02-09,T38250011,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-31,,Apotek,misoprostol,1,Normal
Dalam Negeri,APOTEK AL MAHDI,"JL. BRAWIJAYA NO. 01 RT.01 RW.01, DS. TAMBAKREJO, KEC. MUNCAR",BANYUWANGI,JAWA TIMUR,"Microcrystalline Cellulose, MISOPROSTOL DISPERSION HPMC",SOPROS,ERLIMPEX,SELARAS KUSUMA CABANG MALANG,Jawa Timur,Kab. Malang,2026021242,2026-02-23,T38250011,1.0,"DUS, 3 STRIP @ 10 TABLET",2027-08-31,,Apotek,misoprostol,1,Normal
Dalam Negeri,RSU BAKTI MULIA BANYUWANGI,JL. BRAWIJAYA NO. 46-48 MUNCAR,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,PROSTER,GUARDIAN PHARMATAMA,PENTA VALENT CABANG JEMBER,Jawa Timur,Kab. Jember,"4,00118E+14",2026-04-07,N2511028,2.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,PROSTER TABLET 3X10S / RSU. BAKTI MULIA BANYUWANGI / DKL1108017210A1,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RSU BAKTI MULIA BANYUWANGI,JL. BRAWIJAYA NO. 46-48 MUNCAR,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG JEMBER,Jawa Timur,Kab. Jember,"4,00118E+14",2026-02-10,N2512024,2.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / RSU. BAKTI MULIA BANYUWANGI / GKL1843000210A1,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RSU BAKTI MULIA BANYUWANGI,JL. BRAWIJAYA NO. 46-48 MUNCAR,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG JEMBER,Jawa Timur,Kab. Jember,"4,00118E+14",2026-02-18,N2512024,2.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / RSU. BAKTI MULIA BANYUWANGI / GKL1843000210A1,Rumah Sakit,misoprostol,1,Normal
Dalam Negeri,RSU BAKTI MULIA BANYUWANGI,JL. BRAWIJAYA NO. 46-48 MUNCAR,BANYUWANGI,JAWA TIMUR,MISOPROSTOL DISPERSION HPMC,MISOPROSTOL,NULAB PHARMACEUTICAL INDONESIA,PENTA VALENT CABANG JEMBER,Jawa Timur,Kab. Jember,"4,00118E+14",2026-02-23,N2512024,2.0,"DUS, 3 STRIP @ 10 TABLET",0000-00-00,MISOPROSTOL 200 MCG TAB 3X10S(OGB-NULAB / RSU. BAKTI MULIA BANYUWANGI / GKL1843000210A1,Rumah Sakit,misoprostol,1,Normal
